UPC	Category	Brand	Product Name	Total Weight (g)	Total weight (Oz)	Serving size (g)	Number of Servings	Sugar per serving (g)	Added sugar per serving (g)	Total Sugar (g)	Total Added Sugar (g)	Total Added Sugar (tsp)	type of sugar	Ingredients	pictures	Use Total Sugar?
070470271019	Yogurt	Yoplait	Yogurt: Strawberry Shortcake Light	170	6	170	1	10	10	10	10	3	Sugar	"sugar, kosher gelatin, citric acid, tricalcium phosphate, potassium sorbate, acesulfame potassium, natural and artifical flavor, sucralose"	"echoforgoodstorage, Vuforia"	Yes
070470457260	Yogurt	Yoplait	Yogurt: French Vanilla Lactose Free	170	6	170	1	18	18	18	18	5	Sugar	"PASTEURIZED GRADE A REDUCED FAT MILK, SUGAR, MODIFIED CORN STARCH, KOSHER GELATIN, NATURAL FLAVOR, LACTOSE ENZYME, YOGURT CULTURES (L BULGARICUS, S. THERMOPHILUS, L ACIDOPHILUS), VITAMIN A ACETATE, VITAMIN D"	"echoforgoodstorage, Vuforia"	Yes
079893710099	Yogurt	Open Nature	Greek Strained Nonfat Yogurt Blueberry	150	5.3	150	1	17	12	17	12	3	Sugar	"CULTURED PASTEURIZED GRADE A NONFAT MILK, SUGAR, BLUEBERRIES, NATURAL FLAVOR, LOCUST BEAN GUM, PECTIN, CITRIC ACID, CALCIUM CITRATE "	"echoforgoodstorage, Vuforia"	None
079893710105	Yogurt	Open Nature 	Strawberry	150	5.3	150	1	17	13	17	13	4	Sugar	"CULTURED PASTEURIZED GRADE A NONFAT MILK, SUGAR, STRAWBERRIES, PECTIN, CITRIC ACID, FRUIT & VEGETABLE JUICE (FOR COLOR), CALCIUM CITRATE"	"echoforgoodstorage, Vuforia"	None
079893710204	Yogurt	Open Nature	Raspberry	150	5.3	150	1	18	13	18	13	4	Sugar	"SUGAR, RASPBERRIES, LOCUST BEAN GUM, PECTIN, FRUIT & VEGETABLE JUICE (FOR COLOR), SODIUM CITRATE, CALCIUM CITRATE  "	"echoforgoodstorage, Vuforia"	None
079893710211	Yogurt	Open Nature	Black Cherry	150	5.3	150	1	18	13	18	13	4	Sugar	"Grade A pasteurized nonfat milk, black cherry base (sugar, black cherries, water natural flavor, locust gum, pectin, citric acid, calcium citrate, fruit and vegetable juice [for color]), and live and active yogurt cultures (s. thermophilus, l. bulgaricus, l. acidophilus, b lactis, l. casei, l.rhamnosus, l lactis)."	"echoforgoodstorage, Vuforia"	None
079893710235	Yogurt	Open Nature	Greek Strained Nonfat Yogurt Vanilla	150	5.3	150	1	17	13	17	13	4	Sugar	"CULTURED PASTEURIZED GRADE A NONFAT MILK, SUGAR, NATURAL FLAVOR, LOCUST BEAN GUM, PECTIN, CITRIC ACID, CALCIUM CITRATE"	"echoforgoodstorage, Vuforia"	None
079893710570	Yogurt	Open Nature 	Mango	150	5.3	150	1	18	12	18	12	3	Sugar	"CULTURED PASTEURIZED GRADE A NONFAT  MILK, SUGAR, MANGOS, NATURAL FLAVORS, LOCUST BEAN GUM, PECTIN, FRUIT & VEGETABLE JUICE (FOR COLOR), CITRIC ACID, CALCIUM CITRATE"	"echoforgoodstorage, Vuforia"	None
079893710587	Yogurt	Open nature	Greek Strained Nonfat Yogurt Pineapple	150	5.3	150	1	18	13	18	13	4	Sugar	"CULTURED PASTEURIZED GRADE A NONFAT MILK, SUGAR, PINEAPPLE JUICE CONCENTRATE, LOCUST BEAN GUM, PECTIN, NATURAL FLAVOR, MALIC ACID, CALCIUM CITRATE, TURMERIC (FOR COLOR)"	"echoforgoodstorage, Vuforia"	None
851587003522	Yogurt	Green Mountain Creamery	Blueberry Fruit on the bottom	150	5.3	150	1	12	12	12	12	3	Sugar	sugar	"echoforgoodstorage, Vuforia"	2nd sent
894700010021	Yogurt	Chobani	Yogurt: Vanilla Blended Greek	150	5.3	150	1	13	13	13	13	4	Sugar	"CULTURED PASTEURIZED GRADE A LOWFAT MILK, SUGAR, STRAWBERRIES, MODIFIED CORN STARCH, TRI-CALCIUM PHOSPHATE, GELATIN, NATURAL FLAVORS, NONFAT MILK SOLIDS, CITRIC ACID, ORGANIC FRUIT & VEGETABLE JUICE (COLOR), BETA CAROTENE (COLOR), VITAMIN A PALMITATE, VITAMIN D3"	"echoforgoodstorage, Vuforia"	Yes
036632008381	Yogurt	"Dannon, Oikos"	Yogurt: Coconut Creme 	150	5.3	150	1	6	6	6	6	2	STEVIA LEAF EXTRACT	"CULTURED GRADE A NON FAT MILK, CHICORY ROOT FIBER, WATER, CONTAINS LESS THAN 1% OF NATURAL FLAVORS, STEVIA LEAF EXTRACT, MALIC ACID SODIUM CITRATE, SEA SALT, VITAMIN D3"	"echoforgoodstorage, Vuforia"	Yes
810298030036	Yogurt	"Dannon, Oikos"	Yoogurt: Peanut Butter Banana	150	5.3	150	1	6	6	6	6	2	STEVIA LEAF EXTRACT	"CULTURED GRADE A NON FAT MILK, CHICORY ROOT RIBER, WATER, CONTAINS LESS THAN 1% OF CARAMEL COLOR, NATURAL FLAVORS, STEVIA LEAF EXTRACT, BETA CAROTENE (FOR COLOR), SODIUM CITRATE, SEA SALT, MALIC ACID, VITAMIN D3"	"echoforgoodstorage, Vuforia"	Yes
036632019448	Yogurt	"Dannon, Oikos"	Triple Zero Blended Greek Yogurt Vanilla	907	32	225	4	8	8	32	32	8	Sodium citrate fruit juice	"CULTURED GRADE A NON FAT MILK, CHICORY ROOT FIBER, WATER, CONTAINS LESS THAN 1% OF NATURAL FLAVORS, STEVIA LEAF EXTRACT, MALIC ACID, SODIUM CITRATE, FRUIT JUICE AND BETA CAROTENE (FOR COLOR), SEA SALT, VITAMIN D3"	"echoforgoodstorage, Vuforia"	Yes
079893710761	Yogurt	Organics 	Blueberry	150	5.3	150	1	19	10	19	10	3	Organic sugar	"CULTURED PASTEURIZED GRADE A ORGANIC MILK, ORGANIC SUGAR, ORGANIC BLUEBERRIES, ORGANIC CORN STARCH, NATURAL FLAVOR, PECTIN, OGANIC LEMON JUICE CONCENTRATE, "	"echoforgoodstorage, Vuforia"	None
052159000134	Yogurt	Stonyfield Organic 	Strawberry Lowfat	907	32	227	4	20	20	80	80	20	"Organic cane sugar, Organic strawberry juice concentrate"	"CULTURED PASTEURIZED ORGANIC LOW FAT MILK, ORGANIC CANE SUGAR, ORGANIC STRAWBERRY JUICE CONCENTRATE, NATURAL FLAVOR, PECTIN, ORGANIC VEGETABLE JUICE CONCENTRATE (FOR COLOR), VITAMIN D, LIVE ACTIVE CULTURES (S. THERMOPHILUS, L. BULGARICUS, L. ACIDOPHILUS, BIFIDUS, L. PARACASEI, L. RHAMNOSUS"	"echoforgoodstorage, Vuforia"	Yes
